2026-08-11 00:06:32,549 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x8', 'ex_datars1_i': '0x53', 'ex_datars2_i': '0x7b'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0xce'}}
2026-08-11 00:06:32,550 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x8', 'ex_datars1_i': '0x30', 'ex_datars2_i': '0x54'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x84'}}
2026-08-11 00:06:32,550 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xc', 'ex_datars1_i': '0x59', 'ex_datars2_i': '0x83'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,551 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x5', 'ex_datars1_i': '0x38', 'ex_datars2_i': '0xb'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x33'}}
2026-08-11 00:06:32,551 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xf', 'ex_datars1_i': '0xd', 'ex_datars2_i': '0x3f'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,551 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x0', 'ex_datars1_i': '0xb4', 'ex_datars2_i': '0x72'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,551 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x6', 'ex_datars1_i': '0xb3', 'ex_datars2_i': '0x13'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0xb3'}}
2026-08-11 00:06:32,552 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xe', 'ex_datars1_i': '0x7e', 'ex_datars2_i': '0x87'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,552 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xf', 'ex_datars1_i': '0x45', 'ex_datars2_i': '0x18'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,552 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x7', 'ex_datars1_i': '0x19', 'ex_datars2_i': '0x2e'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,553 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x9', 'ex_datars1_i': '0x1b', 'ex_datars2_i': '0x8d'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x1'}}
2026-08-11 00:06:32,553 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x7', 'ex_datars1_i': '0x4a', 'ex_datars2_i': '0x90'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,553 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xa', 'ex_datars1_i': '0x55', 'ex_datars2_i': '0xb4'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0x1'}}
2026-08-11 00:06:32,554 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xc', 'ex_datars1_i': '0x2e', 'ex_datars2_i': '0x7c'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,554 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xe', 'ex_datars1_i': '0xa7', 'ex_datars2_i': '0x43'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,554 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0xb', 'ex_datars1_i': '0x94', 'ex_datars2_i': '0x30'}, 'response': {'ex_zerof_o': '0x1', 'ex_data_o': '0x0'}}
2026-08-11 00:06:32,555 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x6', 'ex_datars1_i': '0xb6', 'ex_datars2_i': '0x75'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0xf7'}}
2026-08-11 00:06:32,555 - INFO [uvm_test_top.env.AgentDefault.monitor]: {'request': {'ex_aluop_i': '0x1', 'ex_datars1_i': '0xd', 'ex_datars2_i': '0x42'}, 'response': {'ex_zerof_o': '0x0', 'ex_data_o': '0xffffffcb'}}
